year,title,author,translator,publisher,pubyear
2025,癌症楼,索尔仁尼琴,姜明河,译林出版社,2013
2025,二手时间,阿列克谢耶维奇,吕宁思,中信出版社,2016
2025,我的骨头没有忘记,斯蒂芬妮·胡,高语冰,广东经济出版社,2024
2025,请照顾好我妈妈,申京淑,薛舟/徐丽红,北京联合出版公司,2021
2025,My Story,Steven Gerrard,,Penguin,2015
2025,大地上的居所,巴勃罗·聂鲁达,梅清,南海出版公司,2020
2025,雪,奥罕·帕慕克,蔡鹃如,麦田出版社,2008
2025,All Fours,Miranda July,,Riverhead Books,2024
2025,生活的囚徒,威廉·特雷弗,亚可,上海译文出版社,2023,
2025,未来学大会,斯坦尼斯瓦夫·莱姆,许东华,译林出版社,2021
2025,I Want to Die but I Want to Eat Tteokbokki,Baek Sehee,Anton Hur,Bloomsbury Publishing,2022
2025,1Q84 Book 1 <4月-6月>,村上春树,,新潮社,2009
2025,仁慈的关系,克拉斯诺霍尔卡伊·拉斯洛,余泽民/康一人,浙江文艺出版社,2020
2025,容易忘记的名字,金爱灿,薛舟,人民文学出版社,2022
2025,莊園,以撒·辛格,劉以鬯,台灣遠景出版公司,1982
2024,时光错动,库尔特·冯内古特,虞建华,河南文艺出版社,2023
2024,低生育陷阱：日本少子化对策的失败,山田昌宏,钱爱琴,译林出版社,2023
2024,如果我們無法以光速前進,金草葉,胡椒筒,聯經出版公司,2022
2024,鸟道：周梦蝶世界诗选,周梦蝶,,中央编译出版社,2015
2024,靈山,高行健,,,
2024,我不相信神话,奥莉娅娜·法拉奇,陈波,南海出版公司,2023
2024,二十个世界：系外行星的非凡故事,奈尔·迪肯,杨晨光,中译出版社,2023
2024,给樱桃以性别,珍妮特·温特森,邹鹏,新星出版社,2012
2024,不愿活下去的人：关于生死的特别报道,凯蒂·恩格尔哈特,舍其,中信出版集团,2023
2024,黑箱：日本之耻,伊藤诗织,匡匡,雅众文化/中信出版集团,2019
2024,西方文学史十二讲,托马斯·卡莱尔,姜智芹,湖南人民出版社,2023
2024,女の子はどう生きるか　教えて、上野先生！,上野千鶴子,,岩波書店,2021
2024,大地上我们转瞬即逝的绚烂,王鸥行,李鹏程,北京联合出版公司,2023
2024,吉尔伽美什史诗,,拱玉书,商务印书馆,2021
2024,时代的喧嚣,曼德尔施塔姆,刘文飞,上海人民出版社,2024
2024,重返天安門：在失憶的人民共和國，追尋六四的歷史真相,林慕蓮,廖珮杏,八旗文化,2019
2024,青年变革者：梁启超（1873—1898）,许知远,,上海人民出版社,2019
2024,死亡是一件孤独的事,雷·布拉德伯里,夜潮音,新星出版社,2023
2024,锌皮娃娃兵,斯韦特兰娜·阿列克谢耶维奇,高莽,九州出版社,2014
2024,人慈：橫跨二十萬年的人性旅程，用更好的視角看待自己,羅格·布雷格曼,唐澄暐,時報,2021
2024,祈祷之海：格雷格·伊根经典科幻三重奏（I）,格雷格·伊根,鲁冬旭/阿古/刘文元/萧傲然/张涵,新星出版社,2023
2024,白鳥の逃亡者,赤川次郎,,角川文庫,2006
2024,蝇王,戈尔丁,龚志成,上海译文出版社,2014
2024,狡猾的细胞：癌症的进化故事与治愈之道,雅典娜·阿克蒂皮斯,李兆栋,中信出版社,2021
2024,猪八戒是哪八戒,卞恒沁,,文汇出版社,2023
2024,コンビニ人間,村田沙耶香,,文藝春秋,2016
2024,渺小一生,柳原汉雅,尤传莉,广西师范大学出版社,2019
2024,哲学家都爱了谁？,黄鼎元,,台海出版社,2024
2024,罗马帝国衰亡史（5）,爱德华·吉本,席代岳,浙江大学出版社,2018
2024,雌犬,皮纳尔·金塔纳,陈超慧,南海出版公司,2023
2024,盲眼钟表匠,理查德·道金斯,王道还,中信出版社,2014
2024,罗马帝国衰亡史（6）,爱德华·吉本,席代岳,浙江大学出版社,2018
2023,撒旦诗篇,萨尔曼·拉什迪,雷格·詹克,明鉴书屋,2013
2023,Lady of the Lake,Andrzej Sapkowski,David French,,
2023,笑忘录,米兰·昆德拉,王东亮,上海译文出版社,2013
2023,A for Andromeda,Fred Hoyle/John Elliot,,,
2023,Heavier Than Heaven: A Biography of Kurt Cobain,Charles R. Cross,,Hyperion,2001
2023,Tomorrow and Tomorrow and Tomorrow,Gabrielle Zevin,,Knopf,2022
2023,罗马帝国衰亡史（4）,爱德华·吉本,席代岳,浙江大学出版社,2018
2023,好笑的爱,米兰·昆德拉,余中先/郭昌京,上海译文出版社,2014
2023,被禁锢的头脑,切斯瓦夫·米沃什,易丽君,广西师范大学出版社,2013
2023,无以为家：日本家庭消亡现场,酒井顺子,朱田云,人民文学出版舍,2022
2023,大师和玛格丽特,米哈伊尔·布尔加科夫,钱诚,人民文学出版社,2016
2023,1973年のピンボール,村上春樹,,講談社文庫,
2023,当我们不再理解世界,本哈明·拉巴图特,施杰,人民文学出版社,2022
2022,罗马帝国衰亡史（2）,爱德华·吉本,席代岳,浙江大学出版社,2018
2022,女のいない男たち,村上春樹,,文春文庫,2016
2022,俄罗斯文学人生课,维芙·格罗斯柯普,李慧敏,人民日报出版社,2021
2022,等待戈多,萨缪尔·贝克特,余中先,湖南文艺出版社,2016
2022,一个民国少女的日记,文树新,,九州出版社,2010
2022,弦理论,大卫·福斯特·华莱士,林晓筱,湖南文艺出版社,2019
2022,やがて哀しき外国語,村上春樹,,講談社,
2022,Mao's Last Dancer,Li Cunxin,,Penguin Books Australia,2003
2022,文革雜憶,陳若曦,,,
2022,82年生的金智英,赵南柱,尹嘉玄,贵州人民出版社,2019
2022,素食者,韩江,胡椒筒,四川文艺出版社,2021
2022,阿桑奇自传,,任海龙/常江,译文出版社,2013
2022,你喜欢勃拉姆斯吗,弗朗索瓦兹·萨冈,李玉民/余中先,人民文学出版社,2006
2022,毛泽东、斯大林与朝鲜战争,沈志华,,广东人民出版社,2003
2022,罗马帝国衰亡史（3）,爱德华·吉本,席代岳,浙江大学出版社,2018
2022,走ることについて語るときに僕の語ること,村上春樹,,文春文庫,2015
2022,仿制药的真相,凯瑟琳·埃班,高天羽,民主与建设出版社,2020
2022,The Tower of Swallows,Andrzej Sapkowski,David French,,
2021,灵魂迷宫,卡洛斯·鲁依斯·萨丰,范湲,上海文艺出版社,2019
2021,哥伦比亚的倒影,木心,,广西师范大学出版社,2006
2021,Baptism of Fire,Andrzej Sapkowski,David French,,
2021,宛如阿修罗,向田邦子,李佳星,外语教学与研究出版社,2016
2021,自私的基因,理查德·道金斯,卢允中等,中信出版集团,2018
2021,阿吽,向田邦子,刘子倩,中国友谊出版公司,2018
2021,寺内贯太郎一家,向田邦子,李佳星,外语教学与研究出版社,2016
2021,下沉年代,乔治·帕克,刘冉,文汇出版社,2021
2021,生命中最简单又最困难的事,大卫·福斯特·华莱士,龙彦/马磊,北京时代华文书局·阳光博客,2015
2021,色彩を持たない多崎つくると、彼の巡礼の年,村上春樹,,文藝春秋,
2021,掌控谈话,克里斯·沃斯/塔尔·拉兹,赵坤,北京联合出版公司,2018
2021,李逵日记之聚义厅,仓土,,,
2021,李逵日记之忠义堂,仓土,,,
2021,金瓶梅,兰陵笑笑生,,,
2021,彭德怀自述,彭德怀,,国际文化出版公司,2009
2021,毛泽东：鲜为人知的故事,张戎/乔·哈利戴,,,
2021,罗马帝国衰亡史（1）,爱德华·吉本,席代岳,浙江大学出版社,2018
2021,城裏城外,陳若曦,,,
2021,また、同じ夢を見っていた,住野よる,,双葉社,2016
2020,桜の森の満開の下,坂口安吾,,青空文库,2011
2020,古拉格之恋：一个爱情与求生的真实故事,奥兰多·费吉斯,李广平,广西师范大学出版社,2016
2020,The Last Wish,Andrzej Sapkowski,David French,,
2020,Sword of Destiny,Andrzej Sapkowski,David French,,
2020,Permanent Record,Edward Snowden,,Macmillan,2019
2020,Blood of Elves,Andrzej Sapkowski,David French,,
2020,棋王,阿城,,上海三联书店,2019
2020,梁漱溟 王实味 储安平,戴晴,,江苏文艺出版社,1989
2020,The Time of Contempt,Andrzej Sapkowski,David French,,
2020,自卑与超越,阿弗雷德·阿德勒,李青霞,沈阳出版社,2012
2020,父亲的道歉信,向田邦子,张秋明,麦田,2019
2020,埃涅阿斯纪,维吉尔,杨周翰,译林出版社,1999
2019,里卡尔多·雷耶斯离世那年,萨拉马戈,黄茜,作家出版社,2018
2019,我的天才女友,埃莱娜·费兰特,陈英,人民文学出版社,2017
2019,新名字的故事,埃莱娜·费兰特,陈英,人民文学出版社,2017
2019,离开的，留下的,埃莱娜·费兰特,陈英,人民文学出版社,2017
2019,失踪的孩子,埃莱娜·费兰特,陈英,人民文学出版社,2018
2019,凯旋门,雷马克,朱雯,上海译文出版社,2007
2019,局外人,阿尔贝·加缪,柳鸣九,上海译文出版社,2013
2019,人海孤舟——汉魏六朝士的孤独意识,袁济喜,,河南人民出版社,1995
2019,燃烧吧！剑（上）,司马辽太郎,计丽屏,上海人民出版社,2010
2019,燃烧吧！剑（下）,司马辽太郎,计丽屏,上海人民出版社,2010
