name,author,translator,press,version,ISBN,note
向田邦子 心の風景,松田良一,,講談社,1996,978-4-06-208084-2,
唐宋词格律,龙榆生,,上海古籍出版社,2010,978-7-5325-5285-6,
东山魁夷美文集（日文版）,东山魁夷,,译林出版社,2004,978-7-8065-7562-8,
あゝ野麦峠,山本茂実,,角川文庫,1979,0193-143301-0946(1),
拜伦 雪莱 济慈 抒情诗精选集,,穆旦,当代世界出版社,2007,978-7-5090-0218-6,
对不起我爱你,李庆熙,辛蒂,辽宁教育出版社,2006,978-7-5382-7723-4,电视剧
弦理论,大卫·福斯特·华莱士,林晓筱,湖南文艺出版社,2019,978-7-5404-9255-7,
色のない地図,平岩弓枝,,文藝春秋,1981,0093-306760-7384,
介子推,宫城谷昌光,,講談社,1995,978-4-0620-7750-7,
影の女,粟津則雄,,福武書店,1984,978-4-8288-2136-8,
町の秋,高橋昌男,,福武書店,1983,978-4-8288-2070-1,
多多四十年诗选,多多,,江苏文艺出版社,2013,978-7-5399-6218-4,
The Savage Detectives,Roberto Bolaño,Natasha Wimmer,Farrar Straus Giroux,2007,978-0-312-42748-1,
On the Road,Jack Kerouac,,Penguin Books,1999,978-0-14-028329-3,
瘂弦詩集,瘂弦,,洪範書店,2016,978-957-674-312-2,
郑愁予诗的自选（Ⅰ）,郑愁予,,生活·读书·新知三联书店,2000,978-7-108-01256-1,作者亲笔签名
郑愁予诗的自选（Ⅱ）,郑愁予,,生活·读书·新知三联书店,2000,978-7-108-01402-5,作者亲笔签名
1912谁主沉浮,孔庆东,,重庆出版社,2008,978-7-5366-9427-9,同学所赠
梦的解析,弗洛伊德,三月半&鲍荣,湖南文艺出版社,2015,978-7-5404-7167-5,
星球暮歌,星球,,长江文艺出版社,2015,978-7-5354-7984-6,友情支持校友
谢利,夏洛蒂·勃朗特,曹庸,上海译文出版社,1981,10188·182,
一个民国少女的日记,文树新,,九州出版社,2010,978-7-5108-0322-2,
阿凯，我的童年时光,沃莱·索因卡,徐涵,北京燕山出版社,2016,978-7-5402-4135-3,
安魂曲,安娜·阿赫玛托娃,高莽,北方文艺出版社,2016,978-7-5317-3557-1,
我与海明威家的男人们,瓦莱丽·海明威,王婧&叶明燕,新星出版社,2010,978-7-5133-0029-2,
荒原狼,赫尔曼·黑塞,田伟华,台海出版社,2020,978-7-5168-2513-6,
勃朗特传,伊丽莎白·盖斯凯尔,张媛媛,江西教育出版社,2013,978-7-5392-6727-2,
撒旦诗篇,萨尔曼·拉什迪,雷格·詹克,明鉴书屋,2013,986-80180-13200-3-9,
